name,primaryLanguage,languages,url,stargazers,watchers,forks,diskUsage
ChatterBot,{'name': 'Python'},{'totalCount': 1},https://github.com/gunthercox/ChatterBot,{'totalCount': 9944},{'totalCount': 544},{'totalCount': 3320},4321
awesome-kubernetes,{'name': 'Makefile'},{'totalCount': 2},https://github.com/ramitsurana/awesome-kubernetes,{'totalCount': 9903},{'totalCount': 502},{'totalCount': 1450},1268
turicreate,{'name': 'C++'},{'totalCount': 13},https://github.com/apple/turicreate,{'totalCount': 9655},{'totalCount': 369},{'totalCount': 989},318242
stanford-tensorflow-tutorials,{'name': 'Python'},{'totalCount': 1},https://github.com/chiphuyen/stanford-tensorflow-tutorials,{'totalCount': 9545},{'totalCount': 643},{'totalCount': 4151},14037
netron,{'name': 'JavaScript'},{'totalCount': 6},https://github.com/lutzroeder/netron,{'totalCount': 9505},{'totalCount': 210},{'totalCount': 1139},23606
tflearn,{'name': 'Python'},{'totalCount': 1},https://github.com/tflearn/tflearn,{'totalCount': 9423},{'totalCount': 479},{'totalCount': 2318},1539
horovod,{'name': 'Python'},{'totalCount': 3},https://github.com/horovod/horovod,{'totalCount': 9318},{'totalCount': 324},{'totalCount': 1455},3524
caire,{'name': 'Go'},{'totalCount': 3},https://github.com/esimov/caire,{'totalCount': 9286},{'totalCount': 174},{'totalCount': 337},7952
imgaug,{'name': 'Python'},{'totalCount': 2},https://github.com/aleju/imgaug,{'totalCount': 9116},{'totalCount': 221},{'totalCount': 1733},28520
dlib,{'name': 'C++'},{'totalCount': 12},https://github.com/davisking/dlib,{'totalCount': 9052},{'totalCount': 505},{'totalCount': 2248},23333
shap,{'name': 'Jupyter Notebook'},{'totalCount': 7},https://github.com/slundberg/shap,{'totalCount': 8978},{'totalCount': 223},{'totalCount': 1245},152556
nltk,{'name': 'Python'},{'totalCount': 4},https://github.com/nltk/nltk,{'totalCount': 8935},{'totalCount': 498},{'totalCount': 2224},347138
kubeflow,{'name': 'Jsonnet'},{'totalCount': 12},https://github.com/kubeflow/kubeflow,{'totalCount': 8934},{'totalCount': 389},{'totalCount': 1370},310997
flair,{'name': 'Python'},{'totalCount': 1},https://github.com/flairNLP/flair,{'totalCount': 8723},{'totalCount': 203},{'totalCount': 1046},3605
